"collocation","count","count_nested","length","lambda","z"
"candid hillari",3,0,2,1.90352413039442,3.53200895965317
"hillari lost",3,0,2,1.88563585763137,3.49802177145336
"clinton say",5,0,2,1.50040671299427,3.4906920538975
"clinton support",4,0,2,1.65628573536471,3.48718489602588
"hillari comey",2,0,2,2.22162948378216,3.47658307044323
"clinton question",2,0,2,2.19827571867206,3.44827252327519
"team clinton",2,0,2,2.18428086663735,3.42662357192064
"million clinton",3,0,2,1.82788123674713,3.39520958900209
"presid hillaryclinton",2,0,2,2.15358458353598,3.31559640296619
"cnn clinton",3,0,2,1.78256483164069,3.31159389806075
"clinton disast",2,0,2,2.09173267929191,3.28298048064593
"wow hillari",3,0,2,1.74708111988727,3.24446376292488
"stop hillari",4,0,2,1.53706814837516,3.23754744451361
"clinton fbi",2,0,2,2.05599315458946,3.22745079418206
"disast hillari",2,0,2,2.03698632169477,3.19383952918121
"hillari zero",2,0,2,2.03391492339842,3.18758866086947
"anoth clinton",3,0,2,1.70934999492175,3.17639236447481
"clinton spend",2,0,2,1.99912394197061,3.13901197530675
"obama clinton",6,0,2,1.23377589369142,3.119394485235
"clinton lost",2,0,2,1.98086334747982,3.11059471622996
"talk hillari",4,0,2,1.47341276982783,3.10424259179491
"hillari even",6,0,2,1.21900074428029,3.08542028687968
"investig hillari",2,0,2,1.95378340473915,3.06501364773274
"case hillari",2,0,2,1.94880588669516,3.05729824441057
"clinton use",3,0,2,1.58899263386008,2.95387396824511
"hillari beat",2,0,2,1.80772336131803,2.83725991819537
"clinton announc",2,0,2,1.80537152900849,2.8370515434146
"hillari doe",3,0,2,1.52125891367724,2.8274644730951
"doe hillari",3,0,2,1.51997213305962,2.8255691236444
"hillari destroy",2,0,2,1.79835084359191,2.82270210847574
"hillari pass",2,0,2,1.79835084359191,2.82270210847574
"clinton russia",2,0,2,1.79329548596765,2.81820130896527
"hillari realli",5,0,2,1.20678747545112,2.8115752438916
"lie clinton",2,0,2,1.78223486606034,2.80094716863969
"hillari win",6,0,2,1.08218300066484,2.7402416968775
"clinton ask",2,0,2,1.71260958578644,2.69217393085917
"collus hillari",2,0,2,1.68039411796445,2.64000858147538
"debat clinton",2,0,2,1.6730954509273,2.6304160881506
"believ hillari",3,0,2,1.4106933710098,2.62350575049072
"clinton doe",2,0,2,1.61759089882813,2.54359470199828
"clinton news",4,0,2,1.20666451341648,2.54349463543192
"clinton said",3,0,2,1.36323908426546,2.53574937028946
"hillari won",2,0,2,1.61165999236469,2.53214742582423
"campaign hillari",3,0,2,1.35628965096207,2.5228069078991
"know hillari",5,0,2,1.07102706168675,2.49609492616648
"hillari corrupt",2,0,2,1.58492415667283,2.49045515012532
"hillari never",6,0,2,0.982980862323943,2.48970464139741
"hillari lose",2,0,2,1.5699610703331,2.4671133250957
"hillari bad",5,0,2,1.05775788773948,2.46544810309869
"clinton fail",2,0,2,1.56366987344203,2.45920727747574
"hillari spend",2,0,2,1.56256255293771,2.45556981082767
"lead hillari",2,0,2,1.55559411806854,2.44528288286093
"hillari point",2,0,2,1.53708994346875,2.41581573942195
"clinton tri",2,0,2,1.51704801295345,2.38620451601753
"clinton long",2,0,2,1.50797839420224,2.37199889160635
"hillari plan",2,0,2,1.43147599682823,2.25082428882126
"lie hillari",2,0,2,1.42974459568714,2.24855644406416
"foxandfriend clinton",2,0,2,1.42329355799039,2.23930086607676
"clinton also",2,0,2,1.40306493490862,2.20758632552209
"offic hillari",2,0,2,1.33395058463656,2.0986013293136
"support hillari",3,0,2,1.11978265551871,2.08437144042217
"parti hillari",2,0,2,1.2996154320518,2.04481358588165
"use clinton",2,0,2,1.27027988637326,1.99928481724083
"fight hillari",2,0,2,1.25393721628059,1.97322618521001
"hillari care",2,0,2,1.24336347069145,1.95637932220793
"poll hillari",3,0,2,1.04086359695288,1.9378644351835
"clinton bad",3,0,2,1.03851460832198,1.93302086073357
"clinton got",2,0,2,1.20788015351557,1.90132856243443
"said hillari",3,0,2,1.01820961150845,1.89579262014921
"stori hillari",2,0,2,1.18677942370473,1.86791701350248
"clinton onli",3,0,2,0.985458129930827,1.83443001500942
"hillari fail",2,0,2,1.12710824388039,1.77410155766073
"hillari read",2,0,2,1.12472490533931,1.77036254520588
"hillari fight",2,0,2,1.11760871552007,1.75919808749042
"hillari tri",2,0,2,1.0804863508749,1.70094591388097
"hillari play",2,0,2,1.07594127765222,1.69381250644996
"think hillari",4,0,2,0.801863385106298,1.69253827499924
"clinton win",3,0,2,0.894040113349109,1.66449534300965
"clinton call",2,0,2,1.0531330289858,1.65823203841741
"help hillari",2,0,2,1.01455304272485,1.59756835783701
"clinton ever",2,0,2,0.991940391821832,1.56204421185812
"clinton trump2016",2,0,2,0.979870585888426,1.54306831397095
"hillari also",2,0,2,0.966503186645279,1.52197078694481
"clinton now",4,0,2,0.721221704281704,1.52144247879607
"let hillari",2,0,2,0.933882576885383,1.4708158579883
"clinton work",3,0,2,0.725479492364498,1.35099023970847
"hillari just",6,0,2,0.514200427700563,1.30360777396219
"night hillari",2,0,2,0.805471935867599,1.26891685925938
"clinton total",2,0,2,0.78866984960637,1.24232775958704
"noth hillari",2,0,2,0.778867313596818,1.2270679269195
"clinton just",4,0,2,0.580917464528875,1.22566840788396
"run hillari",4,0,2,0.577071685670174,1.21853485293089
"hillari got",2,0,2,0.771318232817254,1.2151512843729
"give hillari",2,0,2,0.768114312369391,1.21015182240279
"elect hillari",2,0,2,0.736530060948027,1.16045954445354
"clinton vote",3,0,2,0.620313239298611,1.15529614215538
"say clinton",2,0,2,0.726408152757712,1.14434117337099
"hillari obama",4,0,2,0.530498709793119,1.12040270589244
"clinton veri",4,0,2,0.529457275734388,1.11715490747673
"clinton even",2,0,2,0.691090747762767,1.08875708657622
"hillari noth",2,0,2,0.689420225691572,1.08630428669712
"even clinton",2,0,2,0.67512181295699,1.0636154162144
"hillaryclinton realdonaldtrump",2,0,2,0.681298688417853,1.05548767747842
"hillari can",4,0,2,0.494571558928696,1.04458502773195
"clinton best",2,0,2,0.662504357065758,1.04375788586334
"hillari made",2,0,2,0.65754924465254,1.03614790972274
"hillari keep",2,0,2,0.651591725836386,1.02677149123998
"trump clinton",8,0,2,0.34508517787574,0.99702449736523
"hillari support",2,0,2,0.625212205789661,0.985250057203189
"clinton like",3,0,2,0.507087524024925,0.944535965999334
"hillari go",5,0,2,0.388677136570599,0.907148530562059
"hillari run",4,0,2,0.415849125352479,0.878419302240028
"hillari becaus",2,0,2,0.556728332699781,0.87743268666834
"hillari trump2016",2,0,2,0.543308416144316,0.85630128850994
"presid clinton",4,0,2,0.327591454305163,0.691340718418534
